E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iECBD_1354,303.492_PID,Escherichia,P.Putida,0.054861296,0.020400414,0.094170196,0.011884792
iAF1260b,303.492_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEcE24377_1341,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSE_1348,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECSP_1301,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECH74115_1262,303.492_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iECSF_1327,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECDH1ME8569_1439,303.492_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iEC1344_C,303.492_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iUMNK88_1353,303.492_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iNRG857_1313,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEKO11_1354,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECP_1309,303.492_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECs_1301,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1349_Crooks,303.492_PID,Escherichia,P.Putida,0.865030288,0.026966568,0.071299963,0.32716564
iYL1228,303.492_PID,Klebsiella,P.Putida,0.955353032,0.026993551,0.072329447,0.356540409
iML1515,303.492_PID,Escherichia,P.Putida,1.091421747,0.027083712,0.058141845,0.508407532
iUTI89_1310,303.492_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iECO103_1326,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECO26_1355,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iUMN146_1321,303.492_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iSDY_1059,303.492_PID,Shigella,P.Putida,0.980704556,0.027030446,0.065244086,0.406303203
iECW_1372,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcDH1_1363,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECS88_1305,303.492_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iEC1356_Bl21DE3,303.492_PID,Escherichia,P.Putida,0.027254673,0.013286404,0.095035542,0.003810328
iEcSMS35_1347,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcolC_1368,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iZ_1308,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECED1_1282,1215087.7_PID,Escherichia,P.Putida,0.812185753,0.026931799,0.072151374,0.303162955
iEC1364_W,1215087.7_PID,Escherichia,P.Putida,0.867360758,0.02695912,0.071153561,0.328631236
iJO1366,1215087.7_PID,Escherichia,P.Putida,0.916424424,0.026984734,0.069334841,0.35666728
iLF82_1304,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
e_coli_core,1215087.7_PID,Escherichia,P.Putida,0.684217179,0.026860831,0.072871592,0.252205851
iJR904,1215087.7_PID,Escherichia,P.Putida,0.927990759,0.026998308,0.067074007,0.373530394
iWFL_1372,1215087.7_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
