"InocRep","Relative_Abundance","Family"
"C3R6",0.000227428,"Pseudomonadaceae"
"C4R6",0.295883557,"Pseudomonadaceae"
"C4R7",0.294064135,"Pseudomonadaceae"
"C4R8",0.292244712,"Pseudomonadaceae"
"C5R8",0.000227428,"Pseudomonadaceae"
"C7R2",0.002956561,"Pseudomonadaceae"
"C7R6",0.003638845,"Pseudomonadaceae"
"C7R7",0.002956561,"Pseudomonadaceae"
"C4R1",0.141005231,"Pseudomonadaceae"
"C4R2",0.117580168,"Pseudomonadaceae"
"C4R3",0.108028201,"Pseudomonadaceae"
"C1R4",0.000454856,"Pseudomonadaceae"
"C3R4",0.000227428,"Pseudomonadaceae"
"C4R4",0.143052081,"Pseudomonadaceae"
"C5R4",0.000682283,"Pseudomonadaceae"
"C11R4",0.018421651,"Pseudomonadaceae"
"C4R5",0.127814419,"Pseudomonadaceae"
"C4R6",0.149647487,"Pseudomonadaceae"
"C1R7",0.000227428,"Pseudomonadaceae"
"C4R7",0.140550375,"Pseudomonadaceae"
"C4R8",0.147373209,"Pseudomonadaceae"
"C10R1",0.556970662,"Pseudomonadaceae"
"C5R1",0.060040937,"Pseudomonadaceae"
"C5R2",0.216738685,"Pseudomonadaceae"
"C5R4",0.245622015,"Pseudomonadaceae"
"C5R5",0.200591312,"Pseudomonadaceae"
"C5R6",0.280645895,"Pseudomonadaceae"
"C5R7",0.209915852,"Pseudomonadaceae"
"C5R8",0.166249716,"Pseudomonadaceae"
"C10R5",0.261769388,"Pseudomonadaceae"
"C1R1",0.001591995,"Pseudomonadaceae"
"C2R1",0.005913123,"Pseudomonadaceae"
"C12R1",0.007732545,"Pseudomonadaceae"
"C10R2",0.083238572,"Pseudomonadaceae"
"C1R3",0.003411417,"Pseudomonadaceae"
"C10R3",0.049806686,"Pseudomonadaceae"
"C7R4",0.002729134,"Pseudomonadaceae"
"C10R4",0.066863771,"Pseudomonadaceae"
"C2R5",0.000682283,"Pseudomonadaceae"
"C12R5",0.005458267,"Pseudomonadaceae"
"C1R6",0.005230839,"Pseudomonadaceae"
"C10R6",0.033431885,"Pseudomonadaceae"
"C12R6",0.015237662,"Pseudomonadaceae"
"C10R7",0.122811008,"Pseudomonadaceae"
"C1R1",0.001364567,"Enterobacteriaceae"
"C2R1",0.254264271,"Enterobacteriaceae"
"C3R1",0.001137139,"Enterobacteriaceae"
"C7R1",0.007732545,"Enterobacteriaceae"
"C8R1",0.656129179,"Enterobacteriaceae"
"C11R1",0.367978167,"Enterobacteriaceae"
"C12R1",0.001364567,"Enterobacteriaceae"
"C7R2",0.145326359,"Enterobacteriaceae"
"C8R2",0.00204685,"Enterobacteriaceae"
"C12R2",0.00204685,"Enterobacteriaceae"
"C1R3",0.000454856,"Enterobacteriaceae"
"C2R3",0.239254037,"Enterobacteriaceae"
"C7R3",0.676370252,"Enterobacteriaceae"
"C8R3",0.569706618,"Enterobacteriaceae"
"C10R3",0.00204685,"Enterobacteriaceae"
"C11R3",0.648169206,"Enterobacteriaceae"
"C12R3",0.003411417,"Enterobacteriaceae"
"C2R4",0.192176484,"Enterobacteriaceae"
"C3R4",0.001364567,"Enterobacteriaceae"
"C7R4",0.710256993,"Enterobacteriaceae"
"C8R4",0.032067319,"Enterobacteriaceae"
"C11R4",0.000682283,"Enterobacteriaceae"
"C12R4",0.00204685,"Enterobacteriaceae"
"C3R5",0.000227428,"Enterobacteriaceae"
"C7R5",0.009097112,"Enterobacteriaceae"
"C8R5",0.000454856,"Enterobacteriaceae"
"C11R5",0.6415738,"Enterobacteriaceae"
"C2R6",0.270411644,"Enterobacteriaceae"
"C3R6",0.001137139,"Enterobacteriaceae"
"C7R6",0.037753013,"Enterobacteriaceae"
"C8R6",0.367295884,"Enterobacteriaceae"
"C11R6",0.369570161,"Enterobacteriaceae"
"C3R7",0.004321128,"Enterobacteriaceae"
"C7R7",0.162383443,"Enterobacteriaceae"
"C8R7",0.003866272,"Enterobacteriaceae"
"C9R7",0.002956561,"Enterobacteriaceae"
"C10R7",0.004775984,"Enterobacteriaceae"
"C12R7",0.000682283,"Enterobacteriaceae"
"C1R8",0.001819422,"Enterobacteriaceae"
