"E","P","R_F","Experiment","type","variable"
"iECO103_1326","303.492_PID",0.303265459,"fba","published","R/F"
"iECO26_1355","303.492_PID",0.303265459,"fba","published","R/F"
"iUMN146_1321","303.492_PID",0.313809496,"fba","published","R/F"
"iSDY_1059","303.492_PID",0.406303203,"fba","published","R/F"
"iECW_1372","303.492_PID",0.303265459,"fba","published","R/F"
"iEcDH1_1363","303.492_PID",0.303265459,"fba","published","R/F"
"iECS88_1305","303.492_PID",0.313809496,"fba","published","R/F"
"iEC1356_Bl21DE3","303.492_PID",0.003810328,"fba","published","R/F"
"iEcSMS35_1347","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEcolC_1368","1215087.7_PID",0.303164068,"fba","published","R/F"
"iZ_1308","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECED1_1282","1215087.7_PID",0.303162955,"fba","published","R/F"
"iEC1364_W","1215087.7_PID",0.328631236,"fba","published","R/F"
"iJO1366","1215087.7_PID",0.35666728,"fba","published","R/F"
"iLF82_1304","1215087.7_PID",0.303164068,"fba","published","R/F"
"e_coli_core","1215087.7_PID",0.252205851,"fba","published","R/F"
"iJR904","1215087.7_PID",0.373530394,"fba","published","R/F"
"iWFL_1372","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEcHS_1320","1215087.7_PID",0.356778134,"fba","published","R/F"
"iECIAI39_1322","1215087.7_PID",0.313694338,"fba","published","R/F"
"iECO111_1330","1215087.7_PID",0.303164068,"fba","published","R/F"
"iB21_1397","1215087.7_PID",0.011880819,"fba","published","R/F"
"iEC1372_W3110","1215087.7_PID",0.356669782,"fba","published","R/F"
"iECIAI1_1343","1215087.7_PID",0.357951985,"fba","published","R/F"
"iAPECO1_1312","1215087.7_PID",0.31370458,"fba","published","R/F"
"iECABU_c1320","1215087.7_PID",0.303164068,"fba","published","R/F"
"iBWG_1329","1215087.7_PID",0.303164068,"fba","published","R/F"
"iE2348C_1286","1215087.7_PID",0.303164068,"fba","published","R/F"
"iAF1260","1215087.7_PID",0.461586592,"fba","published","R/F"
"iEC042_1314","1215087.7_PID",0.303164068,"fba","published","R/F"
"iYS1720","1215087.7_PID",0.400267573,"fba","published","R/F"
"iECOK1_1307","1215087.7_PID",0.31370458,"fba","published","R/F"
"STM_v1_0","1215087.7_PID",0.429752854,"fba","published","R/F"
"iETEC_1333","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEC55989_1330","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEC1368_DH5a","1215087.7_PID",0.356669782,"fba","published","R/F"
"iECB_1328","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECD_1391","1215087.7_PID",0.011880819,"fba","published","R/F"
"iG2583_1286","1215087.7_PID",0.262989623,"fba","published","R/F"
"iY75_1357","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECNA114_1301","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECBD_1354","1215087.7_PID",0.011880818,"fba","published","R/F"
"iAF1260b","1215087.7_PID",0.461586592,"fba","published","R/F"
"iEcE24377_1341","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECSE_1348","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","1215087.7_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","1215087.7_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","1215087.7_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","1215087.7_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECP_1309","1215087.7_PID",0.31370458,"fba","published","R/F"
"iECs_1301","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","1215087.7_PID",0.327056258,"fba","published","R/F"
"iYL1228","1215087.7_PID",0.356421207,"fba","published","R/F"
"iML1515","1215087.7_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","1215087.7_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","1215087.7_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","1215087.7_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","1215087.7_PID",0.406167364,"fba","published","R/F"
"iECW_1372","1215087.7_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","1215087.7_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","1215087.7_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","1215087.7_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEcolC_1368","1042876.5_PID",0.223462229,"fba","published","R/F"
"iZ_1308","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECED1_1282","1042876.5_PID",0.223461402,"fba","published","R/F"
"iEC1364_W","1042876.5_PID",0.242375035,"fba","published","R/F"
"iJO1366","1042876.5_PID",0.26319558,"fba","published","R/F"
"iLF82_1304","1042876.5_PID",0.223462229,"fba","published","R/F"
"e_coli_core","1042876.5_PID",0.185618879,"fba","published","R/F"
"iJR904","1042876.5_PID",0.275718716,"fba","published","R/F"
"iWFL_1372","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEcHS_1320","1042876.5_PID",0.263277904,"fba","published","R/F"
"iECIAI39_1322","1042876.5_PID",0.231282375,"fba","published","R/F"
"iECO111_1330","1042876.5_PID",0.223462229,"fba","published","R/F"
"iB21_1397","1042876.5_PID",0.007145126,"fba","published","R/F"
"iEC1372_W3110","1042876.5_PID",0.263197438,"fba","published","R/F"
"iECIAI1_1343","1042876.5_PID",0.264149647,"fba","published","R/F"
"iAPECO1_1312","1042876.5_PID",0.23128998,"fba","published","R/F"
"iECABU_c1320","1042876.5_PID",0.223462229,"fba","published","R/F"
"iBWG_1329","1042876.5_PID",0.223462229,"fba","published","R/F"
"iE2348C_1286","1042876.5_PID",0.223462229,"fba","published","R/F"
"iAF1260","1042876.5_PID",0.341112319,"fba","published","R/F"
"iEC042_1314","1042876.5_PID",0.223462229,"fba","published","R/F"
"iYS1720","1042876.5_PID",0.295574677,"fba","published","R/F"
"iECOK1_1307","1042876.5_PID",0.23128998,"fba","published","R/F"
"STM_v1_0","1042876.5_PID",0.317471474,"fba","published","R/F"
"iETEC_1333","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEC55989_1330","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEC1368_DH5a","1042876.5_PID",0.263197438,"fba","published","R/F"
"iECB_1328","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECD_1391","1042876.5_PID",0.007145126,"fba","published","R/F"
"iG2583_1286","1042876.5_PID",0.193627285,"fba","published","R/F"
"iY75_1357","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECNA114_1301","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECBD_1354","1042876.5_PID",0.007145126,"fba","published","R/F"
"iAF1260b","1042876.5_PID",0.341112319,"fba","published","R/F"
"iEcE24377_1341","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECSE_1348","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECSP_1301","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECH74115_1262","1042876.5_PID",0.193627285,"fba","published","R/F"
"iECSF_1327","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECDH1ME8569_1439","1042876.5_PID",0.263277904,"fba","published","R/F"
"iEC1344_C","1042876.5_PID",0.263197438,"fba","published","R/F"
"iUMNK88_1353","1042876.5_PID",0.263277904,"fba","published","R/F"
"iNRG857_1313","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEKO11_1354","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECP_1309","1042876.5_PID",0.23128998,"fba","published","R/F"
"iECs_1301","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEC1349_Crooks","1042876.5_PID",0.241205402,"fba","published","R/F"
"iYL1228","1042876.5_PID",0.263012835,"fba","published","R/F"
"iML1515","1042876.5_PID",0.375756951,"fba","published","R/F"
"iUTI89_1310","1042876.5_PID",0.263277904,"fba","published","R/F"
"iECO103_1326","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECO26_1355","1042876.5_PID",0.223462229,"fba","published","R/F"
"iUMN146_1321","1042876.5_PID",0.23128998,"fba","published","R/F"
"iSDY_1059","1042876.5_PID",0.299956067,"fba","published","R/F"
"iECW_1372","1042876.5_PID",0.223462229,"fba","published","R/F"
"iEcDH1_1363","1042876.5_PID",0.223462229,"fba","published","R/F"
"iECS88_1305","1042876.5_PID",0.23128998,"fba","published","R/F"
"iEC1356_Bl21DE3","1042876.5_PID",0.001150752,"fba","published","R/F"
"iEcSMS35_1347","303.175_PID",0.258889354,"fba","published","R/F"
"iEcolC_1368","303.175_PID",0.258889354,"fba","published","R/F"
"iZ_1308","303.175_PID",0.258889354,"fba","published","R/F"
"iECED1_1282","303.175_PID",0.258888402,"fba","published","R/F"
"iEC1364_W","303.175_PID",0.280676609,"fba","published","R/F"
"iJO1366","303.175_PID",0.304661547,"fba","published","R/F"
"iLF82_1304","303.175_PID",0.258889354,"fba","published","R/F"
"e_coli_core","303.175_PID",0.215294414,"fba","published","R/F"
