"E_Genus","P_Species","ratioRF"
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.313809496229533
"Shigella","P. putida",0.406303209503341
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.313809496229533
"Escherichia","P. putida",0.00381032810194203
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270544863872588
"Escherichia","P. putida",0.293314086576705
"Escherichia","P. putida",0.318378946441025
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.22498804965361
"Escherichia","P. putida",0.333454947997129
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.31847805409999
"Escherichia","P. putida",0.279960162200081
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.0101320138247476
"Escherichia","P. putida",0.318381179554475
"Escherichia","P. putida",0.319527503813431
"Escherichia","P. putida",0.279969313774424
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.412179194526969
"Escherichia","P. putida",0.270545857414449
"Salmonella","P. putida",0.357358589484898
"Escherichia","P. putida",0.279969313774424
"Salmonella","P. putida",0.383719106039446
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.318381179554475
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.0101320138247476
"Escherichia","P. putida",0.234628989097683
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.0101320132157474
"Escherichia","P. putida",0.412179194526969
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.234628989097683
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.31847805409999
"Escherichia","P. putida",0.318381179554475
"Escherichia","P. putida",0.31847805409999
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.279969313774424
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.291906017375723
"Klebsiella","P. putida",0.318158951917862
"Escherichia","P. putida",0.453886219056283
"Escherichia","P. putida",0.31847805409999
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.279969313774424
"Shigella","P. putida",0.362633144344956
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.270545857414449
"Escherichia","P. putida",0.279969313774424
"Escherichia","P. putida",0.0029156727165261
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
