"time_hours","variable","Family","SangerID","value"
48,"pH","Pseudomonadaceae",432,6.371606157
48,"pH","Pseudomonadaceae",267,6.384465737
48,"pH","Enterobacteriaceae",269,6.187055134
48,"pH","Enterobacteriaceae",270,5.043876133
48,"pH","Enterobacteriaceae",435,5.101825647
48,"pH","Pseudomonadaceae",272,6.350299123
48,"pH","Enterobacteriaceae",273,6.021600937
48,"pH","Pseudomonadaceae",274,6.281129459
48,"pH","Enterobacteriaceae",438,6.434561555
48,"pH","Enterobacteriaceae",439,4.933713412
48,"pH","Enterobacteriaceae",283,5.298650269
48,"pH","Enterobacteriaceae",284,6.408293596
48,"pH","Enterobacteriaceae",286,4.776709061
48,"pH","Enterobacteriaceae",287,6.394949193
48,"pH","Enterobacteriaceae",440,6.212527516
48,"pH","Pseudomonadaceae",441,6.422224335
48,"pH","Enterobacteriaceae",442,5.519731768
48,"pH","Enterobacteriaceae",160,5.29671527
48,"pH","Enterobacteriaceae",165,6.125301907
48,"pH","Enterobacteriaceae",169,5.149155588
48,"pH","Pseudomonadaceae",523,6.408293596
48,"pH","Enterobacteriaceae",276,5.151622875
48,"pH","Enterobacteriaceae",277,5.836401587
48,"pH","Enterobacteriaceae",278,5.051537788
48,"pH","Enterobacteriaceae",288,6.160728101
48,"pH","Enterobacteriaceae",289,4.817776053
48,"pH","Pseudomonadaceae",290,6.488767545
48,"pH","Pseudomonadaceae",444,6.461916151
48,"pH","Pseudomonadaceae",294,6.272373447
48,"pH","Enterobacteriaceae",295,6.367795779
48,"pH","Enterobacteriaceae",303,5.854898895
48,"pH","Pseudomonadaceae",304,6.304880723
48,"pH","Enterobacteriaceae",305,5.854898895
48,"pH","Enterobacteriaceae",308,6.367795779
48,"pH","Enterobacteriaceae",310,6.411084432
48,"pH","Enterobacteriaceae",311,6.434561555
48,"pH","Pseudomonadaceae",316,6.3585967
48,"pH","Enterobacteriaceae",317,6.498136483
48,"pH","Enterobacteriaceae",320,6.434561555
48,"pH","Pseudomonadaceae",321,6.394949193
48,"pH","Enterobacteriaceae",322,6.434561555
48,"pH","Pseudomonadaceae",325,6.258136156
48,"pH","Enterobacteriaceae",448,6.475400625
48,"pH","Pseudomonadaceae",449,6.268303447
0,"acetate (mM)","Pseudomonadaceae",326,0
0,"acetate (mM)","Enterobacteriaceae",327,0
0,"acetate (mM)","Enterobacteriaceae",332,0
0,"acetate (mM)","Pseudomonadaceae",335,0
0,"acetate (mM)","Moraxellaceae",336,0
0,"acetate (mM)","Enterobacteriaceae",338,0
0,"acetate (mM)","Enterobacteriaceae",340,0
0,"acetate (mM)","Enterobacteriaceae",461,0
0,"acetate (mM)","Enterobacteriaceae",280,0
0,"acetate (mM)","Aeromonadaceae",343,0
0,"acetate (mM)","Enterobacteriaceae",344,0
0,"acetate (mM)","Enterobacteriaceae",345,0
0,"acetate (mM)","Enterobacteriaceae",346,0
0,"acetate (mM)","Enterobacteriaceae",348,0
0,"acetate (mM)","Pseudomonadaceae",350,0
0,"acetate (mM)","Moraxellaceae",453,0
0,"acetate (mM)","Moraxellaceae",454,0
0,"acetate (mM)","Enterobacteriaceae",458,0
0,"acetate (mM)","Enterobacteriaceae",460,0
0,"acetate (mM)","Pseudomonadaceae",352,0
0,"acetate (mM)","Enterobacteriaceae",356,0
0,"acetate (mM)","Pseudomonadaceae",462,0
0,"acetate (mM)","Enterobacteriaceae",358,0
0,"acetate (mM)","Enterobacteriaceae",360,0
0,"acetate (mM)","Enterobacteriaceae",259,0
0,"acetate (mM)","Enterobacteriaceae",364,0
0,"acetate (mM)","Pseudomonadaceae",428,0
0,"acetate (mM)","Pseudomonadaceae",432,0
0,"acetate (mM)","Pseudomonadaceae",267,0
