"w_ratio","rf_pair","Experiment","type","variable"
0.373388907754889,"303.492_PID_iEcSMS35_1347","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEcolC_1368","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iZ_1308","fba","published","w[ace,R] / w[glu,F]"
0.373392833794128,"303.492_PID_iECED1_1282","fba","published","w[ace,R] / w[glu,F]"
0.379013160001929,"303.492_PID_iEC1364_W","fba","published","w[ace,R] / w[glu,F]"
0.389324596561778,"303.492_PID_iJO1366","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iLF82_1304","fba","published","w[ace,R] / w[glu,F]"
0.368728241864127,"303.492_PID_e_coli_core","fba","published","w[ace,R] / w[glu,F]"
0.40264982230747,"303.492_PID_iJR904","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iWFL_1372","fba","published","w[ace,R] / w[glu,F]"
0.389380766365672,"303.492_PID_iEcHS_1320","fba","published","w[ace,R] / w[glu,F]"
0.376292101741767,"303.492_PID_iECIAI39_1322","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECO111_1330","fba","published","w[ace,R] / w[glu,F]"
0.271803608620465,"303.492_PID_iB21_1397","fba","published","w[ace,R] / w[glu,F]"
0.389319841369437,"303.492_PID_iEC1372_W3110","fba","published","w[ace,R] / w[glu,F]"
0.389975595138906,"303.492_PID_iECIAI1_1343","fba","published","w[ace,R] / w[glu,F]"
0.376360421372193,"303.492_PID_iAPECO1_1312","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECABU_c1320","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iBWG_1329","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iE2348C_1286","fba","published","w[ace,R] / w[glu,F]"
0.439252458106596,"303.492_PID_iAF1260","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEC042_1314","fba","published","w[ace,R] / w[glu,F]"
0.390211553029289,"303.492_PID_iYS1720","fba","published","w[ace,R] / w[glu,F]"
0.376360421372193,"303.492_PID_iECOK1_1307","fba","published","w[ace,R] / w[glu,F]"
0.408025269009838,"303.492_PID_STM_v1_0","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iETEC_1333","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEC55989_1330","fba","published","w[ace,R] / w[glu,F]"
0.389319841369437,"303.492_PID_iEC1368_DH5a","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECB_1328","fba","published","w[ace,R] / w[glu,F]"
0.271803608620465,"303.492_PID_iECD_1391","fba","published","w[ace,R] / w[glu,F]"
0.352852861483624,"303.492_PID_iG2583_1286","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iY75_1357","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECNA114_1301","fba","published","w[ace,R] / w[glu,F]"
0.216633445256926,"303.492_PID_iECBD_1354","fba","published","w[ace,R] / w[glu,F]"
0.439252458106596,"303.492_PID_iAF1260b","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEcE24377_1341","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECSE_1348","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECSP_1301","fba","published","w[ace,R] / w[glu,F]"
0.352852861483624,"303.492_PID_iECH74115_1262","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iECSF_1327","fba","published","w[ace,R] / w[glu,F]"
0.389380766365672,"303.492_PID_iECDH1ME8569_1439","fba","published","w[ace,R] / w[glu,F]"
0.389319841369437,"303.492_PID_iEC1344_C","fba","published","w[ace,R] / w[glu,F]"
0.389380766365672,"303.492_PID_iUMNK88_1353","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iNRG857_1313","fba","published","w[ace,R] / w[glu,F]"
0.373388907754889,"303.492_PID_iEKO11_1354","fba","published","w[ace,R] / w[glu,F]"
