"Experiment","w_ratio","rf_pair","type"
"empir_calc",0.449421841272295,"325_338","emp"
"empir_calc",0.48248274038617,"325_340","emp"
"empir_calc",0.237755191562924,"325_343","emp"
"empir_calc",0.445605097187586,"325_345","emp"
"empir_calc",0.612987363265506,"325_346","emp"
"empir_calc",0.662153136597336,"325_348","emp"
"empir_calc",0.497345954757931,"325_356","emp"
"empir_calc",0.474841624490178,"325_358","emp"
"empir_calc",0.460263143178428,"325_360","emp"
"empir_calc",0.517771380808251,"325_364","emp"
"empir_calc",0.656495077818738,"325_435","emp"
"empir_calc",0.609347327062405,"325_438","emp"
"empir_calc",0.554753320614689,"325_439","emp"
"empir_calc",0.480274601806329,"325_440","emp"
"empir_calc",0.420601215789874,"325_442","emp"
"empir_calc",0.400534339511197,"325_448","emp"
"empir_calc",0.784620907139462,"325_458","emp"
"empir_calc",0.755214948019814,"325_460","emp"
"empir_calc",0.488093011655092,"325_461","emp"
"empir_calc",0.357453147444364,"326_160","emp"
"empir_calc",0.619677451986574,"326_165","emp"
"empir_calc",0.460109183090309,"326_169","emp"
"empir_calc",0.438780867532835,"326_259","emp"
"empir_calc",0.394340201560435,"326_269","emp"
"empir_calc",0.540454250440834,"326_270","emp"
"empir_calc",0.392411871784021,"326_273","emp"
"empir_calc",0.368523726033832,"326_276","emp"
"empir_calc",0.551534257742992,"326_277","emp"
"empir_calc",0.466039184696658,"326_278","emp"
"empir_calc",0.355080651339958,"326_280","emp"
"empir_calc",0.332290813440721,"326_283","emp"
"empir_calc",0.402663639764736,"326_284","emp"
"empir_calc",0.587179688001902,"326_286","emp"
"empir_calc",0.42014780240439,"326_287","emp"
"empir_calc",0.454664186554976,"326_288","emp"
"empir_calc",0.4661522998429,"326_289","emp"
"empir_calc",0.328886190204181,"326_295","emp"
"empir_calc",0.312249921073823,"326_303","emp"
"empir_calc",0.322282041767103,"326_305","emp"
"empir_calc",0.346644620956193,"326_308","emp"
"empir_calc",0.300555173221093,"326_310","emp"
"empir_calc",0.358804656745616,"326_311","emp"
"empir_calc",0.332290813440721,"326_317","emp"
"empir_calc",0.310438032151018,"326_320","emp"
"empir_calc",0.29776708836279,"326_322","emp"
"empir_calc",0.350120849605463,"326_327","emp"
"empir_calc",0.576496892755459,"326_332","emp"
"empir_calc",0.343675503648332,"326_338","emp"
"empir_calc",0.368957366055956,"326_340","emp"
