seq,isolate,csource,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
320,8.5.A.1,succinate,0.062840248,0.139635378,0.583333333,7.916666667,1.125915664,3.69123264,0.125410246,0.475402055
321,8.5.A.2,Dlactate,0.011432796,0.344076932,0.820385524,10.875,0.733943267,8.345241457,0.032283641,0.768889336
321,8.5.A.2,succinate,0.199699025,0.441833003,0.666666667,4.5,0.413573055,3.320483867,0.159381464,0.702514798
322,8.5.A.3,Dlactate,0.077992329,0.624864265,0,1.166666667,0.131239405,0.462698943,0.006007496,0.499614239
322,8.5.A.3,succinate,0.099805744,0.895251649,0.416666667,5.916666667,0.490554182,5.223668286,0.028561789,0.458962065
325,8.5.C.5,Dlactate,0.011336302,0.36854043,1.296362432,6.5,1.101727027,4.725006092,0.035344775,0.757388693
325,8.5.C.5,succinate,0.021927251,0.55328422,0.166666667,5.5,0.015433615,4.447589955,0.010712515,0.442798745
326,10.2.A.1,Dlactate,0.023738799,0.219305527,2.438597806,8.916666667,1.925128605,6.82145684,0.006809705,0.308804357
326,10.2.A.1,succinate,0.148886531,0.47135393,0.25,6.583333333,0.212751332,5.191366189,0.018278019,0.279772377
327,10.2.A.2,Dlactate,0.072653665,0.331662966,4.298134285,5.791666667,3.607585047,4.036611496,0.022678687,0.54311903
327,10.2.A.2,succinate,0.005405377,0.342603052,0.25,5.25,0.081619607,3.491060905,0.026331444,0.226759198
332,11.1.A.4,Dlactate,0.011627626,0.171885587,3.614128013,8.125,2.497560881,5.349058674,0.004023714,0.447713404
332,11.1.A.4,succinate,0.000132766,0.336510158,0.75,8.083333333,0.482433972,6.554224858,0.080624758,0.517633592
335,11.1.A.1,Dlactate,0.11165194,0.332061866,,,,,,
335,11.1.A.1,succinate,0.00945413,0.424300289,0,6.5,0.096971069,5.618018104,0.005144241,0.315721461
336,11.1.A.3,Dlactate,0.060705076,0.512980133,0,1.166666667,0.111794572,0.45443401,0.054739422,0.734420762
336,11.1.A.3,succinate,0.004687876,0.195134777,0.5,13.5,0.279707444,9.434722242,0.021254813,0.794098923
338,11.1.B.1,Dlactate,0.076507033,0.258546671,5.267552229,6.708333333,4.100501278,4.48275646,0.073583837,0.540623271
338,11.1.B.1,succinate,0.027206218,0.25669105,0.5,4.5,0.090108531,2.517572499,0.032791416,0.288067754
340,11.1.B.3,Dlactate,0.080306643,0.512064532,0,1.166666667,0.130828926,0.518553593,0.018457888,0.555179958
340,11.1.B.3,succinate,0.050082972,0.313566114,0,1.166666667,0.01033309,0.593654242,0.042733248,0.398930826
